Meeting:NewspaperText,Meeting:Date of meeting,Meeting:Place,Geolocation:latitude,Geolocation:longitude,Geolocation:zoom_level,Meeting:Newspaper,Dublin Core:Date,itemType
"LEICESTERSHIRE.   Sermons for Clayton will be preached, on Sunday next, at Hathern, Mountsorrel, and Loughborough, by Messrs. Bairstow and Bent. Mr. Bairstow will be at Lough borough on next Monday evening, and at Kegworth on Tuesday evening. Mr. Vincent is to lecture at Loughborough on next Wednesday and Thursday evenings.",,Leicestershire,52.666667,-1,7,Northern Star,13/03/1841,Meeting
"WARRINGTON.   A great number of the mem bers of the National Charter Association, having signed the teetotal pledge, it has been resolved that the subject for discussion, on Sunday evening next, (to-morrow,) shall be  the propriety of forming & Teetotal Chartist Society. ",,Warrington,53.40180345,-2.568036973,7,Northern Star,13/03/1841,Meeting
"MANCHESTER.   The South Lancashire Dele gate Meeting will be held to-morrow week, in the Brown-street room, East Manchester, at which, it is hoped, a delegate will be present from every town and village in Lancashire.",,Manchester,53.4791466,-2.2447445,7,Northern Star,13/03/1841,Meeting
"THE NEXT MONDAY EVENING S lecture is post poned till the following week, and then to be in the Carpenter's Hall, Manchester, in consequence of the Tib-street room being too small. On Sunday even ing next, Dr. M Douall is appointed to preach Clayton s funeral sermon at Newton Heath. There will be a funeral sermon preached, for Clayton, in Brown- street, East Manchester.",,"The Next Monday Evening S Lecture Is Post Poned Till The Following Week, And Then To Be In The Carpenter's Hall, Manchester, In Consequence Of The Tib-street Room Being Too Small",,,7,Northern Star,13/03/1841,Meeting
"MACCLESFIELD.   On Sunday next, Mr. West will deliver a lecture in the large room, at the Bun dle of Sticks, Water Courts.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,13/03/1841,Meeting
"TOWER HAMLETS.   On Sanday last, the ad journed discussion was entered into with great spirit, and again adjourned till to-morrow evening at seven o'clock. The committee for drawing up rules for the guidance of a trading company, meet on Thursday next.",,Tower Hamlets,51.516667,-0.05,7,Northern Star,13/03/1841,Meeting
"SHAW, NEAR OLDHAM.   Mr. Bell, of Manchester, lectures here to-morrow.",,"Shaw, Near Oldham",53.58281,-2.0884582,7,Northern Star,13/03/1841,Meeting
"MARYLEBONE.  A concert will be held, in the Mechanics' Institution, Marylebone, on Tuesday, March 23rd, for the benefit of Mr. George, a vene rable and staunch Radical, of forty years' standing, when all true friends to freedom are requested to attend.",,Marylebone,51.518421,-0.1479115,7,Northern Star,13/03/1841,Meeting
"NORTHAMPTON.  Mr. H. Vincent pays a visit to this town on Monday next, March 15th, when a public tea party, to welcome him, will be held in the Peacock Assembly-room. Mr. Vincent will deliver a course of three lectures in the above place, on the evenings of the 16th, 17th, and 18th.",,Northampton,52.2385239,-0.902493,7,Northern Star,13/03/1841,Meeting
"OLDHAM.  On Sunday next, Mr. William Tilman, of Manchester, will deliver two lectures in the National Charter Association-room, Greaves- street, Oldham.",,Oldham,53.5415797,-2.1147831,7,Northern Star,13/03/1841,Meeting
"BATH.  A funeral sermon will be delivered to morrow, in memory of Clayton, the Chartist victim, in the Association-room, Bath.",,Bath,51.3813864,-2.3596963,7,Northern Star,13/03/1841,Meeting
"TROWBRIDGE.   On Sunday evening next, to morrow, a sermon will be preached at the Democratic Chapel, Conigree, Trowbridge, by J. Rawlings, upon the death of our late friend, John Clay ton. Service to commence at six o clock, when a collection will be made for the support of his widow and fatherless children.",,Trowbridge,51.3191947,-2.2040788,7,Northern Star,13/03/1841,Meeting
"BRADFORD.   PUBLIC MEETING, TEA PARTY AND BALL.  At the meeting of the Committee ap pointed for carrying out the above object, on Sun day last, it was unanimously agreed that the public meeting should commence at twelve o'clock at noon, on Monday the 15th inst., in front of the Odd Fel lows' Hall, Thornton Road, and that tea should be on the table at six o'clock in the evening of the same day, in the Social Institution, Hall Ings. The tickets for the tea party and ball .are Is. each, and may be had of the following individuals: Mr Wm. Gouldsborough, Goodmansend ; Mr. Ellis, ditto ; Mr. Carrodus, North Tavern, Wapping; Mr. C. Wilkinson, News Agent, Tyrrell-street; Mr Henry Hodgson, News Agent, Queen-street; Mr Burnett, Reform-street; and Mr. Hopper, Hope- street. An early application is necessary, as the tickets are limited to 400.",,Bradford,53.7941567,-1.7494778,7,Northern Star,13/03/1841,Meeting
"SALFORD.  A lecture will be delivered, on next Sunday night, at the Chartist Association-room. A discussion will take place on Monday evening, at eight o'clock, to know if man be a progressive being, Mr. Cassidy will undertake to prove the affirmative, and Mr. Campbell the negative.",,Salford,53.4877463,-2.2891921,7,Northern Star,13/03/1841,Meeting
"HUDDERSFIELD.  On Sunday next, two ser mons will be preached at the Primitive Methodist Chapel, Upperhead Row, by Mr. Rushton, of Hali fax, and Mr. Joshua Newsome, of Lower Houses, on behalf of the wife and family of the victimised poor Clayton. It is to be hoped that the Chartists of this neighbourhood will be at their posts, and contribute to the disconsolate widow and orphans. The service is to commence at half-past two o'clock in the afternoon, and six in the evening.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,13/03/1841,Meeting
"STAPLEFORD.  Mr. Dorman, a talented preacher amongst the Primitive Methodists, will preach to-morrow, to prove that Chartism is in ac cordance with the Scriptures.",,Stapleford,52.9347421,-1.268312,7,Northern Star,13/03/1841,Meeting
"UPPER WORTLEY.   Funeral sermons for Clayton and Thomas Howgate, will be preached hero to-morrow, in the afternoon and evening, in a- private house near the New Inn, Wortley Moor. Collections for the widows.",,Upper Wortley,53.78615685,-1.585932142,7,Northern Star,20/03/1841,Meeting
"BARNSLEY.   Funeral sermons will be preached in the Odd Fellows  Hall, on Sunday, the 28th, by thE Rev. Wm. Hill. After service, petitions and memorials for Frost, Williams, and Jones, and all political prisoners, will be ready for signature at the door of the hall.",,Barnsley,53.5527719,-1.4827755,7,Northern Star,20/03/1841,Meeting
"MACCLESFIELD.   Mr. West lectures to morrow night, on Church Establishments.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,20/03/1841,Meeting
"WIGAN.	  Dr. M Douall preaches in the Commercial Hall, Market-place, on Sunday, the 28th, at half-past two in the afternoon, and lectures in the same place on the Monday and Tuesday evenings following, at eight o clock.",,Wigan,53.5457188,-2.6264624,7,Northern Star,20/03/1841,Meeting
"LOUGHBOROUGH.   A public meeting of the inhabitants of Loughborough will be holden at the Charter Hotel, on Monday evening, to adopt a petition, and nominate a delegate to the Charter and Petition Convention,",,Loughborough,52.7723859,-1.2077985,7,Northern Star,20/03/1841,Meeting
"MARYLEBONE.   A funeral sermon for Clayton will be preached tomorrow afternoon, in the Sherbourne Road, near the terminus of the Great Western Railway.",,Marylebone,51.518421,-0.1479115,7,Northern Star,20/03/1841,Meeting
"KIDDERMINSTER.   A public meeting of the inhabitants of Kidderminster is called for Monday night next, the 22nd, in order to assist in carrying out the plan laid down in the Star of the 13th inst., by Mr. Feargus O Connor. It is hoped that the meeting will be a numerous one, as the object will be so beneficial. The chair will be taken at eight o clock, when all the Chartists of Kidderminster should be at, their posts, and aid, as far as in their power lies, to carry out this most excellent plan of our worthy friend, Feargus O Connor.",,Kidderminster,52.3882184,-2.2454625,7,Northern Star,20/03/1841,Meeting
"NORTH LONDON.   Next Monday evening a lecture will be delivered on the statistics of the newspaper press of the united kingdom, at the Star Coffee House, Islington Green.",,North London,51.533333,-0.166667,7,Northern Star,20/03/1841,Meeting
"STAPLEFORD, (NEAR NOTTINGHAM).   Mr. Bairstow lectures on Monday in the Democratic Chapel.",,"Stapleford, (near Nottingham)",,,7,Northern Star,20/03/1841,Meeting
"RENTON, (NEAR NEWCASTLE).   Mr. Bairstow lectures here this afternoon at four P.M.",,"Renton, (near Newcastle)",,,7,Northern Star,20/03/1841,Meeting
"SUNDERLAND.   Mr. Binns lectures at the Life-boat House, at half-past twelve to-morrow afternoon, in the evening, Messrs. Decgan, Binns, and Williams will address the Chartists of Sunder land, in the Corporation-hall, on the proposed Con vention, and other matters relating to this cause.",,Sunderland,54.9063791,-1.375053,7,Northern Star,20/03/1841,Meeting
"HUDDERSFIELD.   On Monday evening, a public meeting of the inhabitants of Huddersfield, will be holden in the Chartist-room, Upperhead-Row, to elect a delegate to the Charter and Petitions Con-vention.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,20/03/1841,Meeting
"MACCLESFIELD.   The adjourned mooting of the Chester county delegates will be hold on ; Sunday, the 28th inst,, at the Chartist Room, Bundle of Sticks, Watercotes.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,20/03/1841,Meeting
"CHELSEA.   Mr. Wall lectures to-morrow evening, at the large room over the United Tem perance Coffee House, South George Street, Sloane Square, on the principles of the Charter. Lectures will be delivered in the same room on Sunday, March 28th, by Mr. T.M. Wheeler, and on Sunday, April 5th, by Mr. Peat, at seven each evening.",,Chelsea,51.4854247,-0.1654788,7,Northern Star,20/03/1841,Meeting
"WEST RIDING.   Mr, Arran, West Riding missionary, will deliver lectures at the following places:- On Monday, the 22nd inst., at Queen s Head ; Tuesday, Keighley; Wednesday, Bingley; Thursday, Heckmondwike ; Friday, Pudsey ; Sa turday, Idle.",,West Riding,53.75,-1.666667,7,Northern Star,20/03/1841,Meeting
"HEBDEN BRIDGE.   A public meeting of the inhabitants of Hebden Bridge, is to be holden on Monday the 22nd, to adopt the plan recommended by Feargus O Connor, in the last number of the Star, to get up petitions for the free pardon of Frost, Williams, and Jones, and all those persons who are now suffering in the different hells under Whig domination, and to raise subscriptions towards de fraying the expences of a delegate being sent to London to present the same.  Signed THOMAS MITCHELL.",,Hebden Bridge,53.7407227,-2.0093753,7,Northern Star,20/03/1841,Meeting
"MANCHESTER.   A delegate to the Political Prisoner s Restoration and Charter Petition s Con vention will be put in nomination on Monday evening, at the Carpenter s Hall, Manchester, and a public meeting to elect the said delegate will be holden in the Tib-street Room, on Tuesday, the 23rd instant.",,Manchester,53.4791466,-2.2447445,7,Northern Star,20/03/1841,Meeting
"LEEDS.   A public meeting of the inhabitants of Leeds will be held on Monday evening, at eight o clock, for carrying out the plan recommended by O Connor, and to get up petitions for the free pardon of all the incarcerated Chartists; likewise to nominate a fit per son to act as one of the Executive. All true friends to the Charter are requested to attend.",,Leeds,53.7974185,-1.5437941,7,Northern Star,27/03/1841,Meeting
"THE LEEDS Charter Debating Society is producing effects; it will be, in a great measure, calculated to rear and cultivate that talent which, for want of oppor tunity, has lain so long dead. Such societies should be encouraged. The subject for tomorrow' night s discus sion is   Have women a right to the franchise?  The discussion commences at half-past six o'clock.",,"The Leeds Charter Debating Society Is Producing Effects; It Will Be, In A Great Measure, Calculated To Rear And Cultivate That Talent Which, For Want Of Oppor Tunity, Has Lain So Long Dead",53.7974185,-1.5437941,7,Northern Star,27/03/1841,Meeting
"LONDON.   Two sermons, one next Sunday, by Mr. James Savage, for Mrs. Clayton; and one, the Sunday following, by Mr. Boggis, being a charity sermon for the political victims, will be preached in the Westbourn Road, near the entrance to the Great Western Railway.",,London,51.5073219,-0.1276474,7,Northern Star,27/03/1841,Meeting
"BERMONDSEY.   The members of the National Char ter Association, in this locality, will meet on Wednesday evening, when fresh regulations will be submitted to their consideration.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,27/03/1841,Meeting
"TOWER HAMLETS.   Mr. Wall will lecture on Sun day next, the 28th of March, at seven o clock at night, on the principles contained in the People s Charter.",,Tower Hamlets,51.516667,-0.05,7,Northern Star,27/03/1841,Meeting
"KIDDERMINSTER.   A tea-party and ball will be held at the Free-Mason s Arms Inn, on Easter Tuesday, for the relief of the wives and families of the incarcerated Chartists.",,Kidderminster,52.3882184,-2.2454625,7,Northern Star,27/03/1841,Meeting
"BIRMINGHAM  DELEGATE  MEETING.   Circulars have been addressed to the various towns in this dis trict, giving notice of a meeting of delegates, to be held at the Chartist Meeting Room, Freemason-street, on Sunday next, for the purpose of making arrange ments for the attendance of Mr. Wm, Martin and Mr. Wm. Taylor, the lecturers for the district; a good attendance is expected; after which there is little doubt of this district   going a-head. ",,Birmingham Delegate Meeting,52.4813679,-1.8980726,7,Northern Star,27/03/1841,Meeting
"PROPOSED MEETING AT HOLLOWAY HEAD.   The town has been placarded with green bills, calling A meeting at Holloway Head, for Monday next at half past twelve o clock, for the purpose of petitioning Par liament for the release of all Chartist prisoners; it also states that Mr. Wm. Martin, late of Northallarton House of Correction, Mr. Taylor, Chartist lecturer, and Mr. George White, would address the meeting.",,Proposed Meeting At Holloway Head,,,7,Northern Star,27/03/1841,Meeting
"MACCLESFIELD.   Mr. West will deliver another lecture in the large room of the Old Bundle of Sticks, Watercotes on   The evils of hereditary power,  to- morrow.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,27/03/1841,Meeting
"SUNDERLAND.   On-Sunday afternoon, Mr. Williams will lecture at the Life Boat House; add on Sunday evening, Mr. Deegan, at the Co-operative Hall.",,Sunderland,54.9063791,-1.375053,7,Northern Star,27/03/1841,Meeting
"ON MONDAY EVENING, a meeting will be held in the Co-operative Hall, Sunderland, to form a Teetotal Charter Association.",,"On Monday Evening, A Meeting Will Be Held In The Co-operative Hall, Sunderland, To Form A Teetotal Charter Association",54.9063791,-1.375053,7,Northern Star,27/03/1841,Meeting
"DURHAM.   On Monday evening, Mr. Deegan, or Mr. Williams, will address the Chartists of this city at Mr. Bradford s.",,Durham,54.7764152,-1.5758539,7,Northern Star,27/03/1841,Meeting
"BRADFORD.   THE RURAL POLICE. The rate payers of Horton are about to hold a public meeting for the purpose of memorialising the West-Riding Magistrates, while assembled at Wakefield, to consider of the mode of introducing the Rural Police, that they may deem it meet not to introduce that force into the Riding in any shape whatever. The meeting, which is called conjointly by Whigs, Tories, and Radicals, is, we hear, to take place on Tuesday next, in the Bell Chapel School Room, at four o clock in the afternoon. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,27/03/1841,Meeting
"LIVERPOOL.   Mr. M Cartney purposes lecturing on next Wednesday, in the Chartists  Hall, Preston street.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,27/03/1841,Meeting
"LEICESTER.   On Monday noon, at one o clock, there will be a public meeting to consider the propriety of nominating a delegate to the   Prisoners  Petition, &e. Convention. ",,Leicester,52.6367811,-1.1312289,7,Northern Star,27/03/1841,Meeting
"MANCHESTER AND NEIGHBOURING DISTRICT.   Mr Leech will lecture at the following places during the next week: - On Sunday, the 28th, at Radcliffe Bridge; Monday, 29th, at Middleton; Wednesday, 31st, at Oldham; Thursday, the 1st of April, at Brown Street, East Manchester ; Friday; 2nd, at Failsworth,
Sunday, 4th, at Rochdale, in the afternoon, and at Milnrow at six o clock in the evening.  Mr. Butterworth will lecture, at Rochdale, on Monday evening ; Burnley, Tuesday evening; Colne, Wednesday even ing; Blackburn, Thursday evening; Preston, Friday evening; and Wigan on Saturday evening.  Dr. M Douall will lecture in Mr, Price s mill, Newton Heath, on Sunday, the 4th of April, at four o clock in the afternoon. Subject,   The Old and New Poor Laws. ",,Manchester And Neighbouring District,53.4791466,-2.2447445,7,Northern Star,27/03/1841,Meeting
"WEST-RIDING.   Mr. Arran, the West-Riding mis sionary, will deliver lectures at the following places-:   On Sunday, the 28th of March, he will preach a Char tist sermon at Gawthorpe ; on Tuesday, the 30th, he will attend a public meeting, which will be held for the purpose of adopting the National Petition, in the large room over the Co-operative Stores, Dewsbury, at seven o'clock in the evening; on Wednesday, the 31st, he will lecture at Wakefield; on Thursday, April 1st, at Barnsley; on Friday, the 2nd, at Sheffield; and on Saturday, the 3rd, at Chesterfield and Brampton.",,West-riding,53.75,-1.666667,7,Northern Star,27/03/1841,Meeting
"BARNSLEY.   The Rev. Wm, Hill will preach a ser mon for Clayton, in the Odd Fellows' Hall, to-morrow evening.",,Barnsley,53.5527719,-1.4827755,7,Northern Star,27/03/1841,Meeting
"NEWCASTLE.   A public meeting of the inhabitants of Newcastle and Gateshead will be holden in the Joiners  Hall, on Tuesday evening, the 30th of March, to adopt the National Petition, and to elect a delegate to the Convention. God save the people.
",,Newcastle,54.9770924,-1.6142059,7,Northern Star,27/03/1841,Meeting
