Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"HOLBECK.   Mr. Hill will preach two sermons on Sunday, the 29th instant. Afternoon and evening.",,Holbeck,53.7819971,-1.5676975,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM. - Sunday, (to morrow,) Mr. John McFarline, of Salford, will lecture in tlia Chartist room, Greaves street, at six o clock in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"LIVERPOOL. - A meeting of the members will take place on Suuday evening, in the room of the Association, Preston-Streey, upon important business.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"STOCKPORT. - The Rev. W. Y. Jackson, will preac two sermons here to-morrow, one at two, and the other at six o clock in the evening. Admission 1d. the proceeds to go towards erecting a Chapel for the Reverend gentleman.",,Stockport,53.4077455,-2.1601108,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"The South Lancashire Delegate Meeting will be held in the Chartist Room, Brown Street, on Sunday, (to-morrow.) Chair to be taken at ten o clock in the forenoon.",,Manchester,53.481074,-2.2424089,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Carpenters Hall.  Two lectures will be delivered in this Hall, on Sunday, by Mr. Thomas Dickinson.",,Manchester,53.4749,-2.23508,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"A General Meeting of the Chartists resident in Manchester, will be held in the Carpenters Hall, on Sunday, at ten o clock in the forenoon, to take into consideration the new plan of organization.",,Manchester,53.4749,-2.23508,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"Leeds District. A General Council Meeting of this district will be held on Sunday, January 29th, in tho Chartist room, Cheapside, to commence at ten o clock. It is particularly requested that those residing at Woodhouse, Armley, and Wortley will be present.",,Leeds District,53.7974185,-1.5437941,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"THURSTONLAND.   a District Delegate Meeting will be held in the Democratic Chapel, on Sunday, (tomorrow,) on business of importance; chair to be taken at twelve o clock.",,Thurstonland,53.5899953,-1.7509898,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
"DEWSBURY.   A District Council meeting will be held on Sunday, Jan. 29th, in the large room over the Co-operative Stores, when delegates- are requested to attend from all parts of the district, as the present Secretary and Treasurer are resigning office.
",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,21/01/1843,Meeting,,,
,,,,,,,,,,,
CAMBERWELL.   Mr. Sewell will lecture here on the 6th of February.,,3 Denmark Hill,51.4731758,-0.0931447,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Knight will lecture to the Chartists of Bloomsbury, at the Prince of Wales, No. 9, Little Coram-street, Brunswick-square, on Sunday, (to-morrow).",,Prince of Wales,51.5236933,-0.12552,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"KIDDERMINSTER. - Mr. Clissett will preach two sermons on Sunday, at the Temperance Coffee House, Lion-field, for the benefit of Mrs. Ellis.",,Kidderminster,52.3882184,-2.2454625,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"NEWTON HEATH. - Mr. James Leach, of Manchester, will lecture here in the Chartist Room, on Sunday, at two o'clock in the afternoon. A collection will be made at the close of the lecture, on behalf of John Massey. ",,Newton Heath,53.1924965,-2.4506619,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"FAILSWORTH. - Mr. James Leach, of Manchester, will lecture at the Pole-Lane School, in this place on Sunday, at six o'clock in the evening. A collection will be made at the close of the lecture on behalf of John Massey.",,Failsworth,53.5149749,-2.1500325,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"BROMSGROVE. - A supper will take place at Mr. Leek's, Queen's Head Inn, High-street, Bromsgrove, on Monday, in honour of the liberation of Mr. Mason, from Stafford Gaol, and likewise of his manly and patriotic conduct in advocating the rights of the working millions, and his stern adherence to the People's Charter. Mr. George White of Birmingham, will accompany Mr. Mason. Tickets to be had at Mr. Leek's, Queen's Head; Mr. H. Prosser, Worcester-street ; and Mr. James Hall, Sidemore.",,Bromsgrove,52.3343763,-2.0613665,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"KEIGHLEY. - The usual delegate meeting of the Keighley district will be held in the Working Man's Hall, Sun-street, on Sunday, Feb. 5th, at ten o'clock in the forenoon. A full attendance of delegates is requested, as business of importance is to be transacted. ",,Keighley,53.8684021,-1.9020456,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"BINGLEY.   Sermons will be preached on Sunday, (to-morrow,) by Messrs, Hammond and Kitchen, from Bradford, in the Forester s Court Room.",,Bingley,53.8436535,-1.824621,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"LOWER END OF WARLEY.   Mr. Wallace,of Halifax will deliver a lecture upon Theology, at Hoil-house, in this locality, on Sunday, at two o clock in the afternoon.",,Lower End Of Warley,53.6871628,-1.9485082,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"DEWSBURY.   A district council meeting will be held on Sunday,(to-morrow) in the large room over the stores.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
Mr Julian Harney will deliver an address on Monday'evening at half-past seven o clock.,,Sheffield,53.3840547,-1.4683069,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, at two o clock, a discussion will take place, on the best means of obtaining the Charter, in the large room. Buttcrworth Buildings,",,Bradford,53.7941567,-1.7494778,7,Northern Star,28/01/1843,Meeting,,,
,,,,,,,,,,,
"A Meeting of the Metropolitan Victim Committee will bo held at the Dispatch, Bride Lane, at which Committee men from each locality, are expected to attend.",,Bride Lane,51.513914,-0.105093,7,Northern Star,04/02/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Ruffy Ridley will lecture on Sunday, at the Goldbeaters  Arms, Somers Town.",,Old Saint Pancras Road,51.534999,-0.131596,7,Northern Star,04/02/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Barber will lecture at Jekiston, next Sunday, at two o clock in the afternoon, and Mr. Lilley, will lecture at Ruddington, at the same time.",,Mr,,,7,Northern Star,04/02/1843,Tour,,,
,,,,,,,,,,,
"STOCKPORT.   Mr. David Ross will deliver a lecture on the 9th of Feb., in the Youth s Association room, Bombers Brow.",,Stockport,53.4077455,-2.1601108,7,Northern Star,04/02/1843,Meeting,,,
,,,,,,,,,,,
"A Public Meeting will be held on Monday, at half-past seven o clock, when the past week s doings in the Westminster Tax-Trap, will be considered, and the sense of the meeting thereon taken.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"CARRINGTON, NEAR NOTTINGHAM. - The Chartists of this locality intend holding a tea-party on Shrove-Tuesday, for the benefit of the political victims in Southwell House of Correction, when it is hoped every lover of liberty will lend his aid. Tickets, ninepence each, may be had of the following gentlemen: - Mr. James Sweet, newsagent, Goosegate, Nottingham; and  Mr. William Grundy, Chub row, Carrington; Mr. T. Caunt, barber, King William-street, Ditto; and of all the members of the Committee.",,"Carrington, Near Nottingham",52.973,-1.153,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"The Brook and Peddie Tea Party Committee will meet on Sunday, at two o clock in the afternoon, in the Council Room, Butterworth s Buildings.",,Bradford,53.7941567,-1.7494778,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"THURSTONLAND.   Mr. H. Marsden will lecture in the Democratic Chapel, at six o clock in the evening.",,Thurstonland,53.5899953,-1.7509898,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"STALEY-BRIDGE.   Mr. Brown, from London, will lecture here on Thursday, the instant.",,Staley-bridge,53.4840214,-2.0562536,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"A Delegate Meeting of the framework-knitters of the Midland Counties will be held at the sign of the Plough and Harrow, Mansfield-road, Nottingham, on Monday, the 20th of this month, when business of vital importance will be brought before the. delegates; and it is requested that every town in the three counties will send a delegate. The chair to be taken at twelve o'clock precisely,",,Nottingham,52.9549771,-1.1511066,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Mr.Thomas Clark,from Stockport will deliver two lectures in the Carpenter s Hall, on Sunday, (to-morrow,) at half-past two in the afternoon, and half-past six in the evening.",,Manchester,53.4791466,-2.2447445,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"The South Lancashire delegate meeting will be held in the Brown-Street Chartist room on Sunday, (to-morrow,) at ten o'clock in the forenoon. The whole of the lecturers upon the South Lancashire Plan are requested to meet the delegates at the above time.",,Manchester,53.481074,-2.2424089,7,Northern Star,11/02/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Sherrerd will lecture on Sunday, at the Chartist Hall, No. 25, Star-street, Commercial-road, east, at seven o clock.",,"Star Street, Commercial Road",51.507238,-0.052741,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"The North Lancashire Delegate Meeting will be hold in Padiham, on Sunday, at twelve o clock, in the Social Institution, St. Giles-street. All localities are requested to send delegates as there is business of great importance to transact.",,Padiham,53.797,-2.311,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"OVENDEN.   Mr. James Bawden will preach in the Association room, Forest, on Sunday, (to-morrow) for the benefit of the Defence Fund,in the afternoon at half-past two o clock and in the evening at six.",,Ovenden,53.7422293,-1.8752329,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"MILNROW.   A public tea party will be held on Shrove Tuesday, in the Chartist room, Milnrow, Men s tickets, 81, women s, 6d, tea on the table at five o clock ; Mr. James Taylor, Spotland-bridge, Mr. Thomas Livesey, and other gentlemen, are expected to attend the meeting.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"LASSWADE.   A social meeting will be held in Bon-nyrigg school-room, on Tuesday, for the benefit of the National Victim and Defence Fund, when it is hoped all friends of freedom will attend ; tickets 3d each, to be had of Messrs. J. and W. Stuart, Aitken, Hay, and Price, Lasswade, and of John Jack, and William Danielh, Bonnyrigg.",,Lasswade,55.883,-3.117,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Peter Rigby lectures for the National Defence Fund to-morrow, at Wigston, and the day following, at Loughborough.",,Kirkheaton,53.660129,-1.726188,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"HALIFAX.   A Delegate meeting of this district will bo held at Luddenden on Sunday, at two o clock in the afternoon.",,Halifax,53.725,-1.863,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"A meeting of delegates from the Colliers on the Tyne and Wear, will be held at the house of Mr. Thomas Hutchinson, Freemasons Arms, Monkwear-mouth, Sunderland, ou Saturday, (this day) when all who are realty interested in the welfare of the oppressed miners arc expected to attend.",,Monkwearmouth,54.9158901,-1.3728539,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"DEWSBURY.   A Council Meeting will be held on Sunday, in the Large Room of the Co-operative Stores, when delegates are requested to attend from all parts of the district to take into consideration the most appropriate manner to raise money to defend the victims.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Carpenters Hall.  Mr. William Bcsslev will deliver two lectures in the above Hall, on Sunday, (to-morrow), at half-past two, and at half-past six.",,Manchester,53.4749,-2.23508,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"ASHTON-UNDER-LINE.   Mr. William Scholefield will lecture here on Sunday, (to-morrow), at six o clock in the evening.",,Ashton-under-line,53.4854941,-2.1120849,7,Northern Star,18/02/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Thomas Ibbotson will visit the following places during the ensuing week :   On Sunday, Feb. 19th, he will preach two sermons in Halifax, at two o clock in the afternoon, and six in the evening - Monday, at Sowerby ; Tuesday, at Warley ; Wednesday, at Midgeley ; Thursday, at Mytholmroyd ; Friday, at Hebden-bridge ; and Sunday, Feb. 26th, at Todmorden.",,Mr,,,7,Northern Star,18/02/1843,Tour,,,
,,,,,,,,,,,
"A Meeting of the local lecturers of this district will be hold in the above room, at two o clock, in the afternoon, when it is requested that all will attend.",,Halifax,53.725,-1.863,7,Northern Star,04/03/1843,Meeting,,,
,,,,,,,,,,,
"A Delegate Meeting of the Chartists of the West Riding of Yorkshire, will be held at eleven o clock in the forenoon of Sunday, the 19th of March, in the large room of the Co-operative Stores, Dewsbury, for the purpose of taking into consideration, matters of the utmost importance to the Chartist body.  Edward Clayton, Secretary.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,04/03/1843,Meeting,,,
,,,,,,,,,,,
"A public ball and concert will take place at the Social and Scientific Institution, John-Street, Tottenham Court-road, on Monday, March 20, 1843, towards defraying the expences incurred through sending delegates to the late Birmingham Conference for the Borough of Marylebone.",,"A Public Ball And Concert Will Take Place At The Social And Scientific Institution, John-street, Tottenham Court-road, On Monday, March 20, 1843, Towards Defraying The Expences Incurred Through Sending Delegates To The Late Birmingham Conference For The Borough Of Marylebone",51.5223967,-0.11588,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"HALIFAX.   It is particularly requested that any lecturer, intending to visit Halifax, shall give five day s notice thereof, and also his address, otherwise his communication will not be attended to.",,Halifax,53.725,-1.863,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"Mr. James Clayton, of Midgley, and Mr. Joseph Greenwood, of Warley, will lecture in the large room, Swan Coppice, on Sunday, at six o clock in the evening.",,Halifax,53.725,-1.863,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"SOWERBY.   Mr. B. Butterley, of Halifax, will lecture, on Sunday, (tomorrow,) at six o clock in the evening.",,Sowerby,53.7055036,-1.9324388,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"On Sunday, March 26, Mr, Butterley will lecture at Luddenden; Mr, Bawden,at Upper Warley; Mr, Greenwood, at Ovenden; and Mr. Clayton, at Mixenden, all to commence at six o clock in the evening.",,"On Sunday, March 26, Mr, Butterley Will Lecture At Luddenden; Mr, Bawden,at Upper Warley; Mr, Greenwood, At Ovenden; And Mr",,,7,Northern Star,18/03/1843,Tour,,,
,,,,,,,,,,,
"CARPENTERS' HALL.   The Rev. W. V. Jackson will deliver two lectures in the above hall, on Sunday, (tomorrow,) at half-past two in the afternoon, and half-past six o clock in the evening,",,Manchester,53.4749,-2.23508,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"A lecture will be delivered in the large room, Butterworth Buildings, on the Fallacy of the Question   That the Repeal of the Corn Laws, under present circumstances, would benefit the working manor shopkeeper.  Free admission. Discussion invited. To commence at six o clock in the evening.",,Bradford,53.7941567,-1.7494778,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"OLDHAM.   Mr. Donovan will lecture in the association room, on Sunday, at six o clock in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,18/03/1843,Meeting,,,
,,,,,,,,,,,
"Camberwell Chartists will meet as usual at the Cock Inn, March 27, to hear Mr. J. Sewell deliver a lecture upon the principles of Republicanism. Other business of great importance will be brought before the meeting, involving the interest of the whole Chartist body, especially the Camberwell members.",,3 Denmark Hill,51.4731758,-0.0931447,7,Northern Star,25/03/1843,Meeting,,,
,,,,,,,,,,,
"KEIGHLEY.   The next Delegate Meeting of this district will be holden in the Working Man s Hall, Sun-street, Keighley, on Sunday, the 2nd April, at ten o'clock in the forenoon.",,Keighley,53.8684021,-1.9020456,7,Northern Star,25/03/1843,Meeting,,,
,,,,,,,,,,,
"READING.   Ruffy Ridley will lecture on Wednesday, at Reading.
",,Reading,51.4580216,-0.9673727,7,Northern Star,25/03/1843,Meeting,,,
,,,,,,,,,,,
"TURNAGAIN-LANE.   A ball will be held on Easter Monday, at the Political and Scientific Institution, 1, Turnagain-lane. Tickets, 1s. each; double ditto, 1s. 6d.",,Political and scientific institute,51.5166222,-0.1047859,7,Northern Star,15/04/1843,Meeting,,,
,,,,,,,,,,,
"The Camberwell Locality will meet, as usual, at the Cock Inn, to transact business, and a lecture will be given by Mr. Anderson or Mr. J. Sewell.",,3 Denmark Hill,51.4731758,-0.0931447,7,Northern Star,15/04/1843,Meeting,,,
,,,,,,,,,,,
"BRISTOL.   Mr. J. N. Clarke, of Ledburgh, will lecture at Bear-lane Chapel, on Monday, April 17, at eight o clock in the evening.",,Bristol,51.468489,-2.5907094,7,Northern Star,15/04/1843,Meeting,,,
,,,,,,,,,,,
"MANCHESTER.   Carpenters  Hall.  The Rev. William Hill, Editor of the Northern Star, will preach two Sermons in the above Hall, on Sunday, (to-morrow) ; it being the first anniversary of the opening of this Hall for Chartist purposes. Service to commence at half-past two o clock in the afternoon, and half-past six in the evening.",,Manchester,53.4791466,-2.2447445,7,Northern Star,15/04/1843,Meeting,,,
,,,,,,,,,,,
"SOWERBY.   On Monday, Mr. Doyle, of Manchester, will lecture at seven o clock in the evening. One penny each will be charged towards the support of the cause. On Tuesday, a ball will be holden in the same room. Tickets twopence each.",,Sowerby,53.7055036,-1.9324388,7,Northern Star,15/04/1843,Meeting,,,
,,,,,,,,,,,
"KEIGHLEY.   The next delegate meeting of this district will be holden in the Working Man s Hall, Sun-street, Keighley, on Sunday, April 3Oth, at ten o clock in the forenoon. Delegates or friends are requested to attend from all places in the district, as -it is high time to arouse and take stops for the better organization of the district, Let us not be weary in well doing.",,Keighley,53.8684021,-1.9020456,7,Northern Star,22/04/1843,Meeting,,,
,,,,,,,,,,,
"A Delegate Meeting will take place at Mr. Geo. Mickle s, King-street, Blackburn, on Sunday, at one o clock in the afternoon, when delegates from every locality in North Lancashire, are particularly requested to attend.",,Blackburn,53.7497193,-2.4797543,7,Northern Star,22/04/1843,Meeting,,,
,,,,,,,,,,,
"DERBY.   A Delegate Meeting will be held at Mr. Samuel Pendal s, Hope-street, on Sunday, May 7th, at one o clock, for the purpose of balancing the accounts connected with Mr. West s defence, and likewise to make enquiry into the state of Chartism throughout the country, and to consider the line of agitation it will be necessary to adopt. Delegates will be expected from Helper, Heanor, Ilkstone, Burton, Swadlincote, Greatly, and all other places that can make it convenient to send them.",,Derby,52.9212617,-1.4761491,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"HOLMFIRTH.   Mr. Joshua Hobson, publisher of the Northern Star, will deliver a lecture in the Chartist Room, New Road Side, on Monday, at seven o clock in the evening.",,Holmfirth,53.5703632,-1.7870544,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"HALIFAX.   Mr. B. Rushton, of Ovenden, will preach two sermons in the Chartist Association Room, Swan Coppice, on Sunday, (to-morrow), at half-past six in the evening. Collections will be made for the support of the cause.",,Halifax,53.725,-1.863,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"UPPER WARLEY.   Mr. Hanson, of Elland, will lecture at this place, on Sunday, May 7th, at two o clock in the afternoon.",,Upper Warley,53.7123893,-1.8993857,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"BIRMINGHAM.   The committee for conducting Mr. G. White s defence will meet next Sunday, at the Aston-street Room, at four o clock, when all the collectors are requested to bring in their books, to have them audited, and to bring forth a balance sheet.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"The Monthly Conference of the Chartists of Birmingham will be held at the Association Room, Aston-street, on Monday, at seven o clock in the evening.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"The first meeting of the General Council ofthe Birmingham and Midland Counties Charter Association will take place on Sunday, at the New Inn, Bromsgrove-street, when all those elected are expected to attend.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,29/04/1843,Meeting,,,
,,,,,,,,,,,
"Mr. Brown previous to his journey to Scotland intends visiting and holding open air meetings at Hull, York, Leeds. Dewsbury, Huddersfield, Bradford, Halifax, Hebden Bridge, Todmorden, Manchester, and Liverpool. Mr. B. will be happy to hear without delay from the sub-Secretaries of the above Localities, at Mr. Wheeler's, 243 Temple Bar, London.",,Mr,,,7,Northern Star,06/05/1843,Tour,,,
,,,,,,,,,,,
"Two Lectures will be delivered in the above room, by Mr. William Bell, of Heywood to commence each evening at eight o clock. Admission by tickets, one penny to each lecture. The proceeds, after defraying expences, to go to the funds for the erection of the Oldham Working Man s Hall.",,Oldham,53.5415797,-2.1147831,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"LEEDS DISTRICT.   A general council meeting of this district will be held in the association room, Wood-house, near the Black Bull Inn, on Sunday, the 7th Instant, at half-past one o'clock, pm, to take into consideration a more efficient plan of providing the district with talented lecturers. Other business of great importance will be brought before the meeting, which renders it necessary that as many of the general council should attend as can make it convenient, from Leeds, Holbeck, Hunslet, Wortley, Armley, Woodhouse, Morley, Churwell, and any other locality that may think proper to join the district",,Leeds District,53.7974185,-1.5437941,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
"BLACKBURN. - Mr. Ross, from Manchester, will deliver a course of lectures in the Music Hall, Blackburn, on the 14th, 15th, 16th, and 17th instant.",,Blackburn,53.7497193,-2.4797543,7,Northern Star,06/05/1843,Meeting,,,
,,,,,,,,,,,
